Date,IVE
2022-01-26,138.9184112548828
2022-01-27,138.5862579345703
2022-01-28,140.6991729736328
2022-01-31,142.12008666992188
2022-02-01,143.08892822265625
2022-02-02,144.05770874023438
2022-02-03,142.68289184570312
2022-02-04,142.3230743408203
2022-02-07,142.49839782714844
2022-02-08,143.4487762451172
2022-02-09,145.05419921875
2022-02-10,143.08892822265625
2022-02-11,141.6218719482422
2022-02-14,140.68991088867188
2022-02-15,142.1846923828125
2022-02-16,142.5076141357422
2022-02-17,140.5238494873047
2022-02-18,139.9702606201172
2022-02-22,138.8815155029297
2022-02-23,137.15609741210938
2022-02-24,137.19300842285156
2022-02-25,140.87449645996094
2022-02-28,140.09942626953125
2022-03-01,137.9588165283203
2022-03-02,140.58843994140625
2022-03-03,140.78221130371094
2022-03-04,140.33009338378906
2022-03-07,137.24835205078125
2022-03-08,136.05810546875
2022-03-09,138.17103576660156
2022-03-10,138.00494384765625
2022-03-11,136.9346466064453
2022-03-14,136.90695190429688
2022-03-15,138.70619201660156
2022-03-16,140.59767150878906
2022-03-17,142.21238708496094
2022-03-18,142.69215393066406
2022-03-21,142.959716796875
2022-03-22,143.79013061523438
2022-03-23,142.2584686279297
2022-03-24,143.80369567871094
2022-03-25,145.11993408203125
2022-03-28,145.17550659179688
2022-03-29,146.56591796875
2022-03-30,146.31565856933594
2022-03-31,144.34130859375
2022-04-01,144.9530792236328
2022-04-04,144.7769775390625
2022-04-05,143.86856079101562
2022-04-06,144.081787109375
2022-04-07,144.67498779296875
2022-04-08,145.41651916503906
2022-04-11,144.10960388183594
2022-04-12,143.78517150878906
2022-04-13,144.81405639648438
2022-04-14,144.26718139648438
2022-04-18,144.044677734375
2022-04-19,145.91709899902344
2022-04-20,146.93670654296875
2022-04-21,145.36094665527344
2022-04-22,141.57904052734375
2022-04-25,141.6995391845703
2022-04-26,138.90025329589844
2022-04-27,139.2524871826172
2022-04-28,141.40296936035156
2022-04-29,137.1668701171875
2022-05-02,137.13906860351562
2022-05-03,137.97329711914062
2022-05-04,141.66250610351562
2022-05-05,138.37185668945312
2022-05-06,137.90841674804688
2022-05-09,134.46951293945312
2022-05-10,133.94117736816406
2022-05-11,133.22743225097656
2022-05-12,133.4220733642578
2022-05-13,135.4984130859375
2022-05-16,135.7115936279297
2022-05-17,137.899169921875
2022-05-18,133.3386688232422
2022-05-19,132.44883728027344
2022-05-20,132.60641479492188
2022-05-23,134.9608154296875
2022-05-24,135.32229614257812
2022-05-25,136.2399444580078
2022-05-26,138.17721557617188
2022-05-27,140.5780029296875
2022-05-31,139.42860412597656
2022-06-01,138.32554626464844
2022-06-02,140.00328063964844
2022-06-03,138.67776489257812
2022-06-06,138.9280242919922
2022-06-07,140.3740692138672
2022-06-08,138.62217712402344
2022-06-09,135.63131713867188
2022-06-10,132.6162109375
2022-06-13,128.1215362548828
2022-06-14,127.18167114257812
2022-06-15,128.0284881591797
2022-06-16,124.52023315429688
2022-06-17,124.01771545410156
2022-06-21,126.85598754882812
2022-06-22,126.53028106689453
2022-06-23,127.03277587890625
2022-06-24,130.53170776367188
2022-06-27,130.58755493164062
2022-06-28,129.09866333007812
2022-06-29,128.5682373046875
2022-06-30,127.91682434082031
2022-07-01,129.55465698242188
2022-07-05,128.31698608398438
2022-07-06,128.41932678222656
2022-07-07,129.69422912597656
2022-07-08,129.41506958007812
2022-07-11,128.65199279785156
2022-07-12,128.10296630859375
2022-07-13,127.31195068359375
2022-07-14,126.40930938720703
2022-07-15,128.76365661621094
2022-07-18,127.92613220214844
2022-07-19,130.93191528320312
2022-07-20,130.92254638671875
2022-07-21,131.3971710205078
2022-07-22,131.09939575195312
2022-07-25,131.88104248046875
2022-07-26,131.20179748535156
2022-07-27,132.97918701171875
2022-07-28,134.4029083251953
2022-07-29,135.47308349609375
2022-08-01,135.18463134765625
2022-08-02,134.1609649658203
2022-08-03,135.28697204589844
2022-08-04,134.58905029296875
2022-08-05,134.78443908691406
2022-08-08,135.01710510253906
2022-08-09,134.97055053710938
2022-08-10,136.93408203125
2022-08-11,137.56690979003906
2022-08-12,139.49314880371094
2022-08-15,139.83749389648438
2022-08-16,140.47959899902344
2022-08-17,139.60487365722656
2022-08-18,140.04220581054688
2022-08-19,138.89756774902344
2022-08-22,136.48739624023438
2022-08-23,136.2175750732422
2022-08-24,136.70143127441406
2022-08-25,138.3020477294922
2022-08-26,134.54251098632812
2022-08-29,134.05862426757812
2022-08-30,132.55108642578125
2022-08-31,131.61123657226562
2022-09-01,132.06716918945312
2022-09-02,130.93191528320312
2022-09-06,130.53170776367188
2022-09-07,132.6627655029297
2022-09-08,133.5375213623047
2022-09-09,135.15670776367188
2022-09-12,136.34786987304688
2022-09-13,131.60189819335938
2022-09-14,131.89039611816406
2022-09-15,130.97840881347656
2022-09-16,130.00128173828125
2022-09-19,130.83885192871094
2022-09-20,129.173095703125
2022-09-21,127.0606918334961
2022-09-22,126.07427978515625
2022-09-23,123.82228088378906
2022-09-26,122.15724182128906
2022-09-27,121.50133514404297
2022-09-28,123.92817687988281
2022-09-29,122.03543090820312
2022-09-30,120.42378234863281
2022-10-03,123.75950622558594
2022-10-04,127.40447235107422
2022-10-05,127.02031707763672
2022-10-06,125.44613647460938
2022-10-07,123.0286636352539
2022-10-10,122.33526611328125
2022-10-11,122.0728988647461
2022-10-12,121.51068115234375
2022-10-13,124.82770538330078
2022-10-14,122.71944427490234
2022-10-17,125.05262756347656
2022-10-18,126.71109008789062
2022-10-19,125.88651275634766
2022-10-20,124.81834411621094
2022-10-21,127.66683197021484
2022-10-24,129.166015625
2022-10-25,130.76828002929688
2022-10-26,131.51788330078125
2022-10-27,132.0238800048828
2022-10-28,134.87237548828125
2022-10-31,134.30081176757812
2022-11-01,134.4601287841797
2022-11-02,132.0894775390625
2022-11-03,131.54600524902344
2022-11-04,133.32630920410156
2022-11-07,134.45077514648438
2022-11-08,135.25656127929688
2022-11-09,132.77349853515625
2022-11-10,137.93638610839844
2022-11-11,138.4049072265625
2022-11-14,137.5335235595703
2022-11-15,138.32992553710938
2022-11-16,137.5335235595703
2022-11-17,137.27113342285156
2022-11-18,138.4049072265625
2022-11-21,138.56417846679688
2022-11-22,140.3070068359375
2022-11-23,140.7661590576172
2022-11-25,141.18780517578125
2022-11-28,139.09825134277344
2022-11-29,139.4730682373047
2022-11-30,142.22787475585938
2022-12-01,142.04986572265625
2022-12-02,142.06857299804688
2022-12-05,139.72604370117188
2022-12-06,138.27371215820312
2022-12-07,138.2549591064453
2022-12-08,138.94837951660156
2022-12-09,137.88954162597656
2022-12-12,139.9696807861328
2022-12-13,140.48985290527344
2022-12-14,139.7360076904297
2022-12-15,137.04095458984375
2022-12-16,135.69345092773438
2022-12-19,134.58154296875
2022-12-20,134.9302215576172
2022-12-21,136.94676208496094
2022-12-22,135.48614501953125
2022-12-23,136.32481384277344
2022-12-27,136.32481384277344
2022-12-28,134.77940368652344
2022-12-29,137.19174194335938
2022-12-30,136.7017364501953
2023-01-03,137.32366943359375
2023-01-04,139.0858154296875
2023-01-05,137.6157684326172
2023-01-06,140.7725372314453
2023-01-09,140.73484802246094
2023-01-10,141.76197814941406
2023-01-11,143.37330627441406
2023-01-12,144.04238891601562
2023-01-13,144.56065368652344
2023-01-17,143.8162384033203
2023-01-18,141.29078674316406
2023-01-19,139.87733459472656
2023-01-20,142.3085174560547
2023-01-23,143.9669952392578
2023-01-24,143.80679321289062
2023-01-25,144.07064819335938
2023-01-26,145.2391357421875
2023-01-27,145.55007934570312
2023-01-30,144.15545654296875
2023-01-31,146.22854614257812
2023-02-01,147.66085815429688
2023-02-02,150.27108764648438
2023-02-03,148.1697235107422
