Date,IWB
2023-03-10,204.3562774658203
2023-03-13,203.83729553222656
2023-03-14,207.1820526123047
2023-03-15,205.8268280029297
2023-03-16,209.38304138183594
2023-03-17,206.81678771972656
2023-03-20,208.64295959472656
2023-03-21,211.59364318847656
2023-03-22,207.96055603027344
2023-03-23,208.34263610839844
2023-03-24,209.57757568359375
2023-03-27,210.17579650878906
2023-03-28,209.76092529296875
2023-03-29,212.8676300048828
2023-03-30,214.09291076660156
2023-03-31,217.3057861328125
2023-04-03,217.9715118408203
2023-04-04,216.5821533203125
2023-04-05,215.9261016845703
2023-04-06,216.6979522705078
2023-04-10,217.0163116455078
2023-04-11,217.13209533691406
2023-04-12,216.2637939453125
2023-04-13,219.0810546875
2023-04-14,218.57933044433594
2023-04-17,219.25473022460938
2023-04-18,219.50555419921875
2023-04-19,219.44769287109375
2023-04-20,218.12588500976562
2023-04-21,218.30917358398438
2023-04-24,218.4828643798828
2023-04-25,214.9033660888672
2023-04-26,214.04470825195312
2023-04-27,218.16445922851562
2023-04-28,219.9687042236328
2023-05-01,219.84326171875
2023-05-02,217.28648376464844
2023-05-03,215.86817932128906
2023-05-04,214.23764038085938
2023-05-05,218.3284912109375
2023-05-08,218.50216674804688
2023-05-09,217.5662841796875
2023-05-10,218.4539031982422
2023-05-11,218.07763671875
2023-05-12,217.6627655029297
2023-05-15,218.617919921875
2023-05-16,217.03561401367188
2023-05-17,219.7081756591797
2023-05-18,221.89833068847656
2023-05-19,221.49310302734375
2023-05-22,221.71499633789062
2023-05-23,219.1678924560547
2023-05-24,217.6820831298828
2023-05-25,219.322265625
2023-05-26,222.13955688476562
2023-05-30,222.26492309570312
2023-05-31,221.00099182128906
2023-06-01,223.1622772216797
2023-06-02,226.67416381835938
2023-06-05,226.239990234375
2023-06-06,226.92501831054688
2023-06-07,226.20233154296875
2023-06-08,227.45997619628906
2023-06-09,227.68252563476562
2023-06-12,229.79150390625
2023-06-13,231.3586883544922
2023-06-14,231.64891052246094
2023-06-15,234.5221405029297
2023-06-16,233.56442260742188
2023-06-20,232.54864501953125
2023-06-21,231.23291015625
2023-06-22,231.8907928466797
2023-06-23,230.01397705078125
2023-06-26,229.28842163085938
2023-06-27,231.94882202148438
2023-06-28,232.0842742919922
2023-06-29,233.14845275878906
2023-06-30,235.7991485595703
2023-07-03,236.01202392578125
2023-07-05,235.73146057128906
2023-07-06,233.72889709472656
2023-07-07,233.3516082763672
2023-07-10,233.99977111816406
2023-07-11,235.87655639648438
2023-07-12,237.7146453857422
2023-07-13,239.7172088623047
2023-07-14,239.25283813476562
2023-07-17,240.355712890625
2023-07-18,242.0970916748047
2023-07-19,242.6097869873047
2023-07-20,241.02322387695312
2023-07-21,241.05226135253906
2023-07-24,241.82620239257812
2023-07-25,242.41632080078125
2023-07-26,242.59043884277344
2023-07-27,240.90711975097656
2023-07-28,243.4224395751953
2023-07-31,243.9545135498047
2023-08-01,243.26766967773438
2023-08-02,239.8526611328125
2023-08-03,239.1077423095703
2023-08-04,237.99517822265625
2023-08-07,240.09451293945312
2023-08-08,238.92393493652344
2023-08-09,237.1728973388672
2023-08-10,237.32766723632812
2023-08-11,237.14385986328125
2023-08-14,238.34347534179688
2023-08-15,235.702392578125
2023-08-16,233.85462951660156
2023-08-17,231.98753356933594
2023-08-18,232.16165161132812
2023-08-21,233.51605224609375
2023-08-22,232.8582000732422
2023-08-23,235.47023010253906
2023-08-24,232.19070434570312
2023-08-25,233.93202209472656
2023-08-28,235.27676391601562
2023-08-29,238.84654235839844
2023-08-30,239.9493865966797
2023-08-31,239.7172088623047
