Date,LQD
2021-12-22,111.82242584228516
2021-12-23,111.65416717529297
2021-12-27,111.9822998046875
2021-12-28,111.83918762207031
2021-12-29,111.22502136230469
2021-12-30,111.6709976196289
2021-12-31,111.50270080566406
2022-01-03,110.31632232666016
2022-01-04,110.40885925292969
2022-01-05,109.76097106933594
2022-01-06,109.61796569824219
2022-01-07,109.14674377441406
2022-01-10,109.04582214355469
2022-01-11,109.37394714355469
2022-01-12,109.29823303222656
2022-01-13,109.64319610595703
2022-01-14,108.67558288574219
2022-01-18,107.64067077636719
2022-01-19,107.80894470214844
2022-01-20,107.75001525878906
2022-01-21,108.45681762695312
2022-01-24,108.1202392578125
2022-01-25,107.81733703613281
2022-01-26,107.08533477783203
2022-01-27,107.3293228149414
2022-01-28,107.44712829589844
2022-01-31,107.49761962890625
2022-02-01,107.67633056640625
2022-02-02,107.68476867675781
2022-02-03,106.81647491455078
2022-02-04,105.75430297851562
2022-02-07,105.94819641113281
2022-02-08,105.55198669433594
2022-02-09,105.9060287475586
2022-02-10,104.46449279785156
2022-02-11,105.24005126953125
2022-02-14,104.30433654785156
2022-02-15,103.78166198730469
2022-02-16,103.93341064453125
2022-02-17,104.00928497314453
2022-02-18,104.26217651367188
2022-02-22,104.12730407714844
2022-02-23,103.18315124511719
2022-02-24,103.67205047607422
2022-02-25,104.0936050415039
2022-02-28,105.20634460449219
2022-03-01,105.56620788574219
2022-03-02,103.96119689941406
2022-03-03,104.34133911132812
2022-03-04,104.44271087646484
2022-03-07,103.17562103271484
2022-03-08,102.5589599609375
2022-03-09,102.7363510131836
2022-03-10,101.56219482421875
2022-03-11,101.5199203491211
2022-03-14,100.05010986328125
2022-03-15,100.83570098876953
2022-03-16,101.69733428955078
2022-03-17,102.69412231445312
2022-03-18,102.89684295654297
2022-03-21,101.46925354003906
2022-03-22,101.2242660522461
2022-03-23,101.511474609375
2022-03-24,101.5537109375
2022-03-25,100.75122833251953
2022-03-28,101.30876922607422
2022-03-29,102.16194915771484
2022-03-30,102.39847564697266
2022-03-31,102.16194915771484
2022-04-01,102.5047607421875
2022-04-04,102.86027526855469
2022-04-05,101.05719757080078
2022-04-06,100.46466064453125
2022-04-07,99.99908447265625
2022-04-08,99.21182250976562
2022-04-11,98.24678802490234
2022-04-12,98.31449127197266
2022-04-13,98.82242584228516
2022-04-14,97.67112731933594
2022-04-18,96.92623901367188
2022-04-19,96.15586853027344
2022-04-20,97.15475463867188
2022-04-21,96.12203216552734
2022-04-22,96.01197814941406
2022-04-25,97.0785903930664
2022-04-26,97.02781677246094
2022-04-27,96.09663391113281
2022-04-28,96.38445281982422
2022-04-29,95.31784057617188
2022-05-02,94.75276947021484
2022-05-03,95.36363983154297
2022-05-04,96.29694366455078
2022-05-05,94.82064819335938
2022-05-06,94.0146484375
2022-05-09,94.34552001953125
2022-05-10,94.74430084228516
2022-05-11,95.18549346923828
2022-05-12,95.2279052734375
2022-05-13,94.72732543945312
2022-05-16,94.8545913696289
2022-05-17,94.31160736083984
2022-05-18,94.65943145751953
2022-05-19,94.91397094726562
2022-05-20,95.380615234375
2022-05-23,95.04125213623047
2022-05-24,96.28844451904297
2022-05-25,97.28108215332031
2022-05-26,97.30655670166016
2022-05-27,97.81562805175781
2022-05-31,97.09444427490234
2022-06-01,96.52806091308594
2022-06-02,96.57057189941406
2022-06-03,96.2643814086914
2022-06-06,95.58399963378906
2022-06-07,96.09429931640625
2022-06-08,95.54150390625
2022-06-09,94.9121322631836
2022-06-10,93.99365997314453
2022-06-13,91.82496643066406
2022-06-14,91.34871673583984
2022-06-15,92.77749633789062
2022-06-16,92.8795166015625
2022-06-17,93.06665802001953
2022-06-21,92.13113403320312
2022-06-22,92.8030014038086
2022-06-23,93.51737976074219
2022-06-24,93.62794494628906
2022-06-27,92.76895904541016
2022-06-28,92.74346923828125
2022-06-29,93.29627227783203
2022-06-30,93.57691192626953
2022-07-01,94.75973510742188
2022-07-05,94.73411560058594
2022-07-06,94.26512908935547
2022-07-07,94.25656127929688
2022-07-08,94.10308074951172
2022-07-11,94.367431640625
2022-07-12,94.50389099121094
2022-07-13,95.21166229248047
2022-07-14,94.60621643066406
2022-07-15,95.36516571044922
2022-07-18,94.70003509521484
2022-07-19,94.9643783569336
2022-07-20,94.86204528808594
2022-07-21,96.15825653076172
2022-07-22,96.90013122558594
2022-07-25,96.08150482177734
2022-07-26,96.06444549560547
2022-07-27,96.70402526855469
2022-07-28,97.50560760498047
2022-07-29,97.73588562011719
2022-08-01,97.92904663085938
2022-08-02,96.73230743408203
2022-08-03,97.78372192382812
2022-08-04,97.93761444091797
2022-08-05,96.61264038085938
2022-08-08,96.99728393554688
2022-08-09,96.56133270263672
2022-08-10,97.47601318359375
2022-08-11,96.53568267822266
2022-08-12,97.65553283691406
2022-08-15,97.58712005615234
2022-08-16,97.21100616455078
2022-08-17,96.29634094238281
2022-08-18,96.54424285888672
2022-08-19,95.39876556396484
2022-08-22,94.75769805908203
2022-08-23,94.8602294921875
2022-08-24,94.5781478881836
2022-08-25,95.55265808105469
2022-08-26,94.97991180419922
2022-08-29,94.27894592285156
2022-08-30,94.39862823486328
2022-08-31,93.4070053100586
2022-09-01,92.84468078613281
2022-09-02,92.91326141357422
2022-09-06,91.6531753540039
2022-09-07,92.90470886230469
2022-09-08,92.69039154052734
2022-09-09,92.90470886230469
2022-09-12,92.69895935058594
2022-09-13,92.03036499023438
2022-09-14,92.46753692626953
2022-09-15,92.02175903320312
2022-09-16,91.80748748779297
2022-09-19,91.9617691040039
2022-09-20,91.04454803466797
2022-09-21,91.3874282836914
2022-09-22,90.10165405273438
2022-09-23,89.8444595336914
2022-09-26,88.28430938720703
2022-09-27,86.95563507080078
2022-09-28,88.70436096191406
2022-09-29,88.0443115234375
2022-09-30,87.82142639160156
2022-10-03,89.44607543945312
2022-10-04,89.85890197753906
2022-10-05,89.17945861816406
2022-10-06,88.97303771972656
2022-10-07,88.08720397949219
2022-10-10,87.29593658447266
2022-10-11,87.1153335571289
2022-10-12,87.0121078491211
2022-10-13,87.16693115234375
2022-10-14,86.3326644897461
2022-10-17,86.74546813964844
2022-10-18,87.26151275634766
2022-10-19,86.06607055664062
2022-10-20,85.31779479980469
2022-10-21,85.55862426757812
2022-10-24,85.51561737060547
