Date,QQQ
2022-01-24,344.0700988769531
2022-01-25,336.0941467285156
2022-01-26,335.5681457519531
2022-01-27,332.1888732910156
2022-01-28,342.60931396484375
2022-01-31,353.56536865234375
2022-02-01,355.97088623046875
2022-02-02,358.86334228515625
2022-02-03,344.3135986328125
2022-02-04,348.6570739746094
2022-02-07,345.852294921875
2022-02-08,349.738037109375
2022-02-09,357.1492919921875
2022-02-10,349.0661315917969
2022-02-11,337.9931945800781
2022-02-14,338.4118957519531
2022-02-15,346.8262023925781
2022-02-16,346.7384948730469
2022-02-17,336.42523193359375
2022-02-18,332.58807373046875
2022-02-22,329.2477722167969
